2025-05-30 15:19:27,190 - INFO - Request - Token: admin-test-token, Method: POST, Endpoint: /api/search, Query Params: {}, Client: 127.0.0.1
2025-05-30 15:19:27,192 - INFO - Request - Token: admin-test-token, Method: POST, Endpoint: /api/search, Query Params: {}, Client: 127.0.0.1
2025-05-30 15:19:27,194 - INFO - Request - Token: marketing-test-token, Method: POST, Endpoint: /api/search, Query Params: {}, Client: 127.0.0.1
2025-05-30 15:19:27,195 - INFO - Request - Token: marketing-test-token, Method: POST, Endpoint: /api/search, Query Params: {}, Client: 127.0.0.1
2025-05-30 15:19:27,197 - INFO - Request - Token: marketing-test-token, Method: POST, Endpoint: /api/search, Query Params: {}, Client: 127.0.0.1
2025-05-30 15:19:27,198 - INFO - Request - Token: marketing-test-token, Method: POST, Endpoint: /api/search, Query Params: {}, Client: 127.0.0.1
2025-05-30 15:19:27,198 - INFO - Request - Token: marketing-test-token, Method: POST, Endpoint: /api/search, Query Params: {}, Client: 127.0.0.1
2025-05-30 15:19:27,199 - INFO - Request - Token: marketing-test-token, Method: POST, Endpoint: /api/search, Query Params: {}, Client: 127.0.0.1
2025-05-30 15:19:27,199 - INFO - Request - Token: marketing-test-token, Method: POST, Endpoint: /api/search, Query Params: {}, Client: 127.0.0.1
2025-05-30 15:19:27,200 - INFO - Request - Token: marketing-test-token, Method: POST, Endpoint: /api/search, Query Params: {}, Client: 127.0.0.1
2025-05-30 15:19:27,206 - INFO - Request - Token: marketing-test-token, Method: POST, Endpoint: /api/search, Query Params: {}, Client: 127.0.0.1
2025-05-30 15:29:46,348 - INFO - Request - Token: admin-test-token, Method: POST, Endpoint: /api/reindex, Query Params: {}, Client: 127.0.0.1
2025-05-30 15:29:46,349 - INFO - Request - Token: admin-test-token, Method: POST, Endpoint: /api/reindex, Query Params: {}, Client: 127.0.0.1
2025-05-30 15:29:46,349 - INFO - Request - Token: admin-test-token, Method: POST, Endpoint: /api/search, Query Params: {}, Client: 127.0.0.1
2025-05-30 15:29:46,350 - INFO - Request - Token: admin-test-token, Method: POST, Endpoint: /api/search, Query Params: {}, Client: 127.0.0.1
2025-05-30 15:29:46,354 - INFO - Request - Token: admin-test-token, Method: POST, Endpoint: /api/search, Query Params: {}, Client: 127.0.0.1
2025-05-30 15:29:46,354 - INFO - Request - Token: admin-test-token, Method: POST, Endpoint: /api/search, Query Params: {}, Client: 127.0.0.1
2025-05-30 15:29:46,355 - INFO - Request - Token: admin-test-token, Method: POST, Endpoint: /api/search, Query Params: {}, Client: 127.0.0.1
2025-05-30 15:29:46,379 - INFO - Request - Token: admin-test-token, Method: POST, Endpoint: /api/reindex, Query Params: {}, Client: 127.0.0.1
2025-05-30 15:29:46,380 - INFO - Request - Token: admin-test-token, Method: POST, Endpoint: /api/reindex, Query Params: {}, Client: 127.0.0.1
2025-05-30 15:29:46,381 - INFO - Request - Token: admin-test-token, Method: POST, Endpoint: /api/search, Query Params: {}, Client: 127.0.0.1
2025-05-30 15:29:46,382 - INFO - Request - Token: admin-test-token, Method: POST, Endpoint: /api/reindex, Query Params: {}, Client: 127.0.0.1
2025-05-30 15:29:46,383 - INFO - Request - Token: admin-test-token, Method: POST, Endpoint: /api/reindex, Query Params: {}, Client: 127.0.0.1
